index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
92,7.412062,Series RC,1.194914,,4.5167512884e-07,-352.365966,-89.805702,-28.346252,25000,0.002226,25.000000,0,352.367980,0.784497,100.000000,61.848037,1,1000,0,1.194914,20.000000
93,7.494213,Series RC,1.198104,,4.51866028617e-07,-352.217102,-89.805099,16.299631,25000,0.002227,25.000000,0,352.219146,0.784419,100.000000,106.494522,1,1000,0,1.198104,20.000000
94,7.567996,Series RC,1.243726,,4.51857768053e-07,-352.223541,-89.797683,103.618415,25000,0.002228,25.000000,0,352.225738,0.784608,100.000000,-166.179260,1,1000,0,1.243726,20.000000
95,7.655125,Series RC,1.446399,,4.51846845943e-07,-352.232055,-89.764717,-19.642446,25000,0.002226,25.000000,0,352.235015,0.784101,100.000000,70.592842,1,1000,0,1.446399,20.000000
96,7.736222,Series RC,1.472857,,4.51923041035e-07,-352.172668,-89.760375,34.960891,25000,0.002227,25.000000,0,352.175750,0.784147,100.000000,125.200508,1,1000,0,1.472857,20.000000
97,7.811697,Series RC,1.552463,,4.51969922757e-07,-352.136138,-89.747398,66.077331,25000,0.002227,25.000000,0,352.139556,0.784301,100.000000,156.329940,1,1000,0,1.552463,20.000000
98,7.893732,Series RC,1.376806,,4.51590139928e-07,-352.432281,-89.776168,-115.918685,25000,0.002226,25.000000,0,352.434967,0.784487,100.000000,-25.694854,1,1000,0,1.376806,20.000000
99,7.973917,Series RC,1.717652,,4.51715384619e-07,-352.334564,-89.720680,-103.545463,25000,0.002226,25.000000,0,352.338745,0.784431,100.000000,-13.266145,1,1000,0,1.717652,20.000000
100,8.055164,Series RC,1.567361,,4.51644343819e-07,-352.389984,-89.745162,-43.557846,25000,0.002226,25.000000,0,352.393463,0.784439,100.000000,46.696990,1,1000,0,1.567361,20.000000
101,8.128326,Series RC,1.570456,,4.52010897364e-07,-352.104217,-89.744453,48.029102,25000,0.002227,25.000000,0,352.107727,0.784183,100.000000,138.284637,1,1000,0,1.570456,20.000000
102,8.217809,Series RC,1.227882,,4.51816703199e-07,-352.255554,-89.800277,95.550178,25000,0.002227,25.000000,0,352.257690,0.784303,100.000000,-174.250122,1,1000,0,1.227882,20.000000
103,8.290517,Series RC,1.513975,,4.51830208509e-07,-352.245025,-89.753738,-80.128562,25000,0.002227,25.000000,0,352.248260,0.784301,100.000000,10.117703,1,1000,0,1.513975,20.000000
104,8.378088,Series RC,1.427056,,4.51828995063e-07,-352.245971,-89.767875,161.999237,25000,0.002226,25.000000,0,352.248870,0.784237,100.000000,-107.768653,1,1000,0,1.427056,20.000000
105,8.451184,Series RC,1.426980,,4.51773415716e-07,-352.289306,-89.767913,17.999542,25000,0.002226,25.000000,0,352.292205,0.784327,100.000000,108.231636,1,1000,0,1.426980,20.000000
106,8.536346,Series RC,1.251449,,4.51949554386e-07,-352.152008,-89.796386,38.152130,25000,0.002227,25.000000,0,352.154235,0.784227,100.000000,128.355758,1,1000,0,1.251449,20.000000
