index,elapsed_s,model,series_r,series_l,series_c,current_phase_deg,voltage_phase_deg,samples_per_period,current_amplitude_a,shunt_resistance_ohm,current_pga,phase_diff_deg,dds_frequency_hz,shunt_range,voltage_pga,impedance_mag_ohm,impedance_imag_ohm,captured_cycles,voltage_amplitude_v,impedance_real_ohm,sample_rate_hz
449,24.859449,Series RL,0.411250,0.00010903856985,,71.704566,-18.983261,20.000000,0.007849,100.000000,0,89.312164,50000,0,0,34.257946,34.255477,20.000000,0.268878,0.411250,1000000
450,24.912723,Series RL,0.464199,0.00010816801141,,-168.491470,100.725914,20.000000,0.007853,100.000000,0,89.217376,50000,0,0,33.985153,33.981983,20.000000,0.266896,0.464199,1000000
451,24.968059,Series RL,0.644329,0.000110023076864,,94.804069,3.736124,20.000000,0.007853,100.000000,0,88.932060,50000,0,0,34.570774,34.564769,20.000000,0.271488,0.644329,1000000
452,25.022854,Series RL,0.287216,0.000108072422951,,158.381988,67.897308,20.000000,0.007848,100.000000,0,89.515319,50000,0,0,33.953170,33.951953,20.000000,0.266464,0.287216,1000000
453,25.080844,Series RL,0.320523,0.000108033751483,,66.797157,-23.743925,20.000000,0.007850,100.000000,0,89.458915,50000,0,0,33.941318,33.939804,20.000000,0.266427,0.320523,1000000
454,25.136108,Series RL,0.411280,0.000108971896662,,-36.415184,-127.103477,20.000000,0.007850,100.000000,0,89.311698,50000,0,0,34.237003,34.234531,20.000000,0.268761,0.411280,1000000
455,25.192296,Series RL,0.669734,0.000109157958339,,-117.715835,151.165328,20.000000,0.007849,100.000000,0,88.881164,50000,0,0,34.299522,34.292984,20.000000,0.269232,0.669734,1000000
456,25.248387,Series RL,0.539041,0.000110010414496,,3.172735,-87.720832,20.000000,0.007848,100.000000,0,89.106437,50000,0,0,34.564994,34.560791,20.000000,0.271276,0.539041,1000000
457,25.303611,Series RL,0.387519,0.000108917497502,,17.242607,-73.406250,20.000000,0.007851,100.000000,0,89.351142,50000,0,0,34.219635,34.217441,20.000000,0.268645,0.387519,1000000
458,25.360092,Series RL,0.400802,0.000109115117012,,-35.956958,-126.626838,20.000000,0.007850,100.000000,0,89.330116,50000,0,0,34.281867,34.279525,20.000000,0.269104,0.400802,1000000
459,25.414531,Series RL,0.366392,0.000108529799244,,-37.585136,-128.200820,20.000000,0.007851,100.000000,0,89.384323,50000,0,0,34.097610,34.095642,20.000000,0.267717,0.366392,1000000
460,25.469162,Series RL,0.640745,0.000109880012485,,113.248847,22.185464,20.000000,0.007852,100.000000,0,88.936614,50000,0,0,34.525772,34.519824,20.000000,0.271084,0.640745,1000000
461,25.525326,Series RL,0.349735,0.000108384038781,,-110.154335,159.257202,20.000000,0.007851,100.000000,0,89.411514,50000,0,0,34.051647,34.049850,20.000000,0.267337,0.349735,1000000
462,25.583074,Series RL,0.472621,0.000108240878909,,-132.555572,136.648132,20.000000,0.007853,100.000000,0,89.203720,50000,0,0,34.008159,34.004875,20.000000,0.267050,0.472621,1000000
463,25.641096,Series RL,0.665215,0.000109875400175,,113.552879,22.448850,20.000000,0.007851,100.000000,0,88.895973,50000,0,0,34.524784,34.518375,20.000000,0.271042,0.665215,1000000
464,25.696142,Series RL,0.377190,0.000108247713023,,-2.786129,-93.421607,20.000000,0.007851,100.000000,0,89.364524,50000,0,0,34.009113,34.007022,20.000000,0.266992,0.377190,1000000
465,25.750293,Series RL,0.583224,0.000108179098144,,-168.822265,100.194572,20.000000,0.007853,100.000000,0,89.016838,50000,0,0,33.990470,33.985466,20.000000,0.266942,0.583224,1000000
466,25.804619,Series RL,0.325920,0.000108299575252,,-74.589393,-165.138229,20.000000,0.007851,100.000000,0,89.451156,50000,0,0,34.024875,34.023315,20.000000,0.267139,0.325920,1000000
467,25.857866,Series RL,0.695771,0.000109799193605,,24.363912,-66.791618,20.000000,0.007853,100.000000,0,88.844467,50000,0,0,34.501449,34.494434,20.000000,0.270946,0.695771,1000000
468,25.911953,Series RL,0.381866,0.000108651902916,,-1.592274,-92.233230,20.000000,0.007852,100.000000,0,89.359039,50000,0,0,34.136138,34.134002,20.000000,0.268033,0.381866,1000000
469,25.965406,Series RL,0.381310,0.000108394469796,,-2.393575,-93.035125,20.000000,0.007850,100.000000,0,89.358451,50000,0,0,34.055263,34.053127,20.000000,0.267345,0.381310,1000000
470,26.016730,Series RL,0.366642,0.000108308112324,,-56.473930,-147.091293,20.000000,0.007851,100.000000,0,89.382644,50000,0,0,34.027973,34.025997,20.000000,0.267142,0.366642,1000000
471,26.075391,Series RL,0.712877,0.000109755722024,,-11.254778,-102.439178,20.000000,0.007852,100.000000,0,88.815597,50000,0,0,34.488147,34.480777,20.000000,0.270817,0.712877,1000000
472,26.130156,Series RL,0.445418,0.000109304008465,,72.759620,-17.983541,20.000000,0.007851,100.000000,0,89.256835,50000,0,0,34.341754,34.338867,20.000000,0.269604,0.445418,1000000
473,26.186082,Series RL,0.610532,0.000109997494298,,-139.946914,129.040893,20.000000,0.007851,100.000000,0,88.987823,50000,0,0,34.562126,34.556732,20.000000,0.271348,0.610532,1000000
474,26.242329,Series RL,0.667402,0.000108813228733,,153.177444,62.058967,20.000000,0.007853,100.000000,0,88.881523,50000,0,0,34.191200,34.184684,20.000000,0.268492,0.667402,1000000
